iso3,year,gdp_usd,population,trade_pct_gdp,fdi_inflow_pct_gdp
SMR,2020,1541248248.80727,34770.0,304.903167579063,
SMR,2021,1855652786.18368,34252.0,342.470174007962,6.75333409502216
SMR,2022,1829211863.9476,33755.0,370.436071813414,3.92890134686182
SMR,2023,2027527227.831,33860.0,340.983395012486,-0.893347982047045
SRB,2019,53864693664.5568,6945235.0,107.577309546092,7.92487427143519
SRB,2020,55874017668.998,6899126.0,100.324460810129,6.23865408002072
SRB,2021,66159884072.5308,6834326.0,112.342298324945,6.95312089132574
SRB,2022,66809895701.2152,6664449.0,131.913292283516,6.90354140371273
SRB,2023,81343999280.0179,6623183.0,114.49206464322,6.06995232091603
SVK,2019,105843498304.094,5454147.0,183.722608631236,2.15394548631737
SVK,2020,107732602896.441,5458827.0,167.534173320366,-1.05975666677956
SVK,2021,120511265913.343,5447247.0,181.97948448512,2.25677867211963
SVK,2022,115792972358.209,5431752.0,204.056318531151,4.16872005912019
SVK,2023,133578518423.544,5426740.0,181.39087235645,0.393861455912485
SVN,2019,53909922735.545,2088385.0,160.044275685249,3.99098612082388
SVN,2020,53384760135.1581,2102419.0,147.549008584942,0.948340847721794
SVN,2021,61540813361.8556,2108079.0,161.788727511439,3.60613978687237
SVN,2022,59899117741.0022,2112076.0,186.647076274632,3.64010857871706
SVN,2023,69255264238.3855,2120461.0,160.1596693009,2.09028809314832
SWE,2019,530894124494.418,10278887.0,92.7511390290561,2.9559286166832
SWE,2020,544265668451.678,10353442.0,84.4745958141618,3.36375559523307
SWE,2021,631693331300.776,10415811.0,91.1102374413042,9.17868162234424
SWE,2022,575071237640.921,10486941.0,107.111751826512,9.35228228785513
SWE,2023,578990915246.07,10536632.0,107.619709443974,3.22512369002956
TUR,2019,775853144222.613,82579440.0,62.5784589326239,1.22536076199392
TUR,2020,733628247119.077,83384680.0,60.389853117297,1.02531493703228
TUR,2021,839938668172.134,84147318.0,69.6088976086437,1.50891969619413
TUR,2022,926097476913.818,84979913.0,79.8982722314341,1.48839623728753
TUR,2023,1141242864657.45,85325965.0,65.6832084738667,0.933806495534912
UKR,2019,153883047509.577,44957458.0,90.5112342910763,3.76649676088543
UKR,2020,156617722013.342,44680014.0,79.1564523761815,0.194103193490519
